city,station_name,median_household_income_census_block,bucket
Chicago,Hegewisch Metra Station,42569,2
Chicago,Dorchester Ave & 49th St,42589,2
Chicago,California Ave & Division St,42717,2
Chicago,Blue Island Ave & 18th St,42841,2
Chicago,Kildare Ave & Chicago Ave,42986,2
Chicago,California Ave & 36th St,43047,2
Chicago,Central Park Ave & Ogden Ave,43145,2
Chicago,Clark St & Schreiber Ave,43222,2
Chicago,Western Ave & 24th St,43467,2
Chicago,Bradley Park,43611,2
Chicago,Commercial Ave & 100th St,43796,2
Chicago,Rockwell St & Archer Ave,43975,2
Chicago,Halsted St & 51st St,44018,2
Chicago,St Louis Ave & 59th St,44199,2
Chicago,Woodlawn Ave & 75th St,44250,2
Chicago,Christiana Ave & Lawrence Ave,44271,2
Chicago,Summit Ave & 86th St,44299,2
Chicago,Fort Dearborn Dr & 31st St,44408,2
Chicago,Michigan Ave & 71st St,44450,2
Chicago,Hamlin Ave & 62nd Pl,44458,2
Chicago,Dauphin Ave & 103rd St,44932,2
Chicago,Damen Ave & 33rd St,44934,2
Chicago,Woodlawn & 103rd - Olive Harvey Vaccination Site,45031,2
Chicago,Central Ave & Parker Ave,45096,2
Chicago,MLK Jr Dr & 29th St,45313,2
Chicago,May St & Cullerton St,45417,2
Evanston,Dodge Ave & Church St,45652,2
Chicago,Millard Ave & 26th St,45694,2
Chicago,South Chicago Ave & 83rd St,45733,2
Chicago,Calumet Ave & 71st St,45739,2
Chicago,Cottage Grove Ave & 111th Pl,45781,2
Chicago,Lake Park Ave & 35th St,45814,2
Chicago,California Ave & 21st St,45883,2
Chicago,Keystone Ave & Fullerton Ave,46250,2
Chicago,Indiana Ave & 31st St,46688,2
Chicago,Indiana Ave & 26th St,46688,2
Chicago,Clark St & Jarvis Ave,47024,2
Chicago,Lamon Ave & Armitage Ave,47067,2
Chicago,Ashland Ave & 74th St,47400,2
Chicago,Clark St & Columbia Ave,47500,2
Chicago,Sheridan Rd & Greenleaf Ave,47615,2
Chicago,Blackstone Ave & Hyde Park Blvd,47772,2
Chicago,Ashland Ave & McDowell Ave,47798,2
Chicago,Mason Ave & Belmont Ave,47903,2
Chicago,Pine Grove Ave & Waveland Ave,48051,2
Chicago,Maplewood Ave & Peterson Ave,48088,2
Chicago,Major Taylor Trail & 124th St,48182,2
Chicago,Lawndale Ave & 30th St,48194,2
Chicago,Stewart Ave & 83rd St,48412,2
Chicago,Doty Ave & 111th St,48681,2
Chicago,Indiana Ave & 40th St,48882,2
Chicago,Sheridan Rd & Buena Ave,48985,2
Chicago,Lavergne & Fullerton,49148,2
Chicago,Kildare Ave & 55th St,49755,2
Chicago,St Louis Ave & Norman Bobbins Ave,49800,2
Chicago,Central Park Ave & Bloomingdale Ave,49900,2
Chicago,Stony Island Ave & South Chicago Ave,50000,3
Chicago,Broadway & Berwyn Ave,50156,3
Chicago,State St & 76th St,50167,3
Chicago,Austin Blvd & Madison St,50238,3
Chicago,Cottage Grove Ave & 47th St,50272,3
Chicago,Washtenaw Ave & Ogden Ave,50486,3
Chicago,Fairfield Ave & Roosevelt Rd,50486,3
Chicago,Stony Island Ave & 90th St,50709,3
Chicago,Rhodes Ave & 32nd St,51000,3
Chicago,Lawler Ave & 50th St,51406,3
Chicago,Halsted St & 21st St,51607,3
Chicago,Normal Ave & Archer Ave,51750,3
Chicago,S Aberdeen St & W 106th St,51848,3
Chicago,Clyde Ave & 87th St,51932,3
Chicago,Damen Ave & Pershing Rd,52008,3
Chicago,Kenneth Ave & 50th St,52031,3
Chicago,Pulaski Rd & 51st St,52109,3
Chicago,Albany Ave & Belmont Ave,52321,3
Chicago,Long Ave & Belden Ave,52361,3
Chicago,Budlong Woods Library,52633,3
Chicago,Menard Ave & Division St,52647,3
Chicago,Pulaski Rd & 60th St,52656,3
Chicago,DuSable Lake Shore Dr & Wellington Ave,52708,3
